chrom,TSS,gene_id,Gene name,Gene description,UTR5LEN_log10zscore,CDSLEN_log10zscore,INTRONLEN_log10zscore,UTR3LEN_log10zscore,UTR5GC,CDSGC,UTR3GC,ORFEXONDENSITY
6,46130054,ENSG00000001561,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:HGNC:3359],0.3440816268002024,0.0315957389322628,-0.0445265191607266,0.8763839772273339,0.687,0.385,0.301,2.21
3,50155081,ENSG00000001617,SEMA3F,semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728],0.8068556300588107,0.7697703786620651,0.3364913499080866,0.2934314566417344,0.795,0.615,0.573,7.7
7,117480024,ENSG00000001626,CFTR,cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884],0.0016091760036681,1.6318587930885948,1.0849843273481747,0.5367281344352903,0.568,0.415,0.382,6.12
7,92246023,ENSG00000001629,ANKIB1,ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215],0.6500173788838982,1.2161749870745289,1.0007070229707775,0.7616505992233702,0.652,0.449,0.331,5.85
7,92134473,ENSG00000001630,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649],0.1442015673432605,0.1837442259407622,0.1482988350264126,0.5226403083425663,0.657,0.4429999999999999,0.361,6.59
7,92245913,ENSG00000001631,KRIT1,"KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]",1.2672942761587784,0.6829048651201498,0.4756047158378965,0.4548011804112647,0.508,0.382,0.335,7.3
12,949641,ENSG00000002016,RAD52,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]",0.4276364665408851,-0.0863996492851801,0.7159591053820566,0.2298147121358741,0.612,0.535,0.408,8.85
11,64284653,ENSG00000002330,BAD,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936],0.4485925478321712,-1.3185821628599308,0.0071231924382923,-0.1745361261779096,0.6940000000000001,0.6709999999999999,0.631,5.99
4,17577496,ENSG00000002549,LAP3,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],0.455423008257678,0.2076683348204684,0.314026715493932,-0.1745361261779096,0.748,0.498,0.28,8.42
X,2691325,ENSG00000002586,CD99,CD99 molecule [Source:HGNC Symbol;Acc:HGNC:7082],0.2014003100703837,-1.2044398510971444,0.5372761284281827,-0.0299404623429275,0.7909999999999999,0.557,0.475,18.35
4,11428893,ENSG00000002587,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194],1.356750508813336,-0.4944534948947473,0.3141721387338501,1.20940606654665,0.643,0.603,0.423,1.09
7,150852517,ENSG00000002726,AOC1,"amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]",-0.5016236310898202,0.7516610143932784,-0.3125586609782255,-0.9610435645079036,0.633,0.61,0.637,1.73
7,121328999,ENSG00000002745,WNT16,Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267],0.4906301286395012,-0.2632773033198015,-0.1680409245160709,0.5980878880428806,0.614,0.536,0.306,3.67
7,43112646,ENSG00000002746,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]",0.9443037484527428,1.7430314636349165,1.454287614903525,1.0205976125158431,0.615,0.562,0.366,5.85
7,2232911,ENSG00000002822,MAD1L1,MAD1 mitotic arrest deficient like 1 [Source:HGNC Symbol;Acc:HGNC:6762],0.8940449063964585,0.6484436286949933,1.4257488875986764,-0.3344191145085509,0.642,0.617,0.667,7.96
17,38870057,ENSG00000002834,LASP1,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513],0.5726412762344174,-0.7252793824793491,0.5279397907309721,0.8652470106239873,0.752,0.602,0.546,9.02
17,48107776,ENSG00000002919,SNX11,sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975],0.6107800180388483,-0.6772127296266892,-0.0200386647040706,0.5396274428306757,0.65,0.519,0.503,7.46
7,150800797,ENSG00000002933,TMEM176A,transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930],0.9202189306986444,-0.8669850243863975,-0.5977548860949684,-0.4028313744728267,0.7340000000000001,0.573,0.5479999999999999,8.58
12,8949644,ENSG00000003056,M6PR,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]",0.7873098163305966,-0.6422487067502309,-0.2800481290312973,0.5019527413084174,0.62,0.498,0.414,7.27
X,118116793,ENSG00000003096,KLHL13,kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931],-0.7465280561230806,0.5353397526980803,0.7642046206527454,-0.2352316246028296,0.4,0.441,0.315,4.07
2,72144087,ENSG00000003137,CYP26B1,cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581],0.2722968007654298,0.1953159342046617,0.0196826776821432,0.8647425230090074,0.721,0.63,0.526,3.92
7,8262149,ENSG00000003147,ICA1,islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343],0.4370380625077573,0.1093304147329267,0.9938588008598772,0.1617561378482099,0.637,0.457,0.471,9.05
16,90019455,ENSG00000003249,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455],-1.6480293119087577,-0.6340551343373888,-0.0149050427023331,-0.6560268351732975,0.3,0.667,0.6509999999999999,4.82
2,201780932,ENSG00000003393,ALS2,"ALS2, alsin Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:443]",0.6450384625883998,1.7842996309507817,0.7096671800015624,0.4448159726822164,0.5920000000000001,0.471,0.389,6.68
2,201183140,ENSG00000003400,CASP10,caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500],0.7405760677885463,0.2190385470081723,0.3721627729800654,1.0016103258619895,0.444,0.473,0.4579999999999999,5.78
2,201116180,ENSG00000003402,CFLAR,CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876],0.8839367943547147,0.1046003737335079,0.4886888532011967,-0.6882188270247257,0.573,0.471,0.4320000000000001,6.29
2,187554434,ENSG00000003436,TFPI,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760],0.4991273844746762,-0.5167451864523394,0.7737038948742888,0.8089260317957501,0.5710000000000001,0.3879999999999999,0.331,7.73
2,37231657,ENSG00000003509,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816],-0.7465280561230806,-0.0121038510240805,0.055151935361486,0.2079292682275681,0.65,0.446,0.384,7.62
3,50088953,ENSG00000003756,RBM5,RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902],0.1734620493374389,0.8176592018245834,0.2896773730603242,0.0265959611621897,0.537,0.498,0.46,9.91
8,17413306,ENSG00000003987,MTMR7,myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454],-0.8311376857653645,0.5353397526980803,0.8797952882920047,0.6185409057523662,0.8290000000000001,0.469,0.3229999999999999,7.12
8,17497087,ENSG00000003989,SLC7A2,solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060],-0.6314166494199595,0.6130838427705185,0.2455611673314829,1.1635547745974413,0.4579999999999999,0.481,0.3779999999999999,5.76
7,127588410,ENSG00000004059,ARF5,ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658],0.0975387288475811,-1.2320875020306516,-0.7392963583564216,-0.1398596052484796,0.838,0.5579999999999999,0.591,11.24
17,28357646,ENSG00000004139,SARM1,sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074],0.6433698753287437,0.664843575294563,0.2069711876517413,1.3446645019162529,0.687,0.657,0.517,4.16
3,129606675,ENSG00000004399,PLXND1,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107],0.1910708149372643,1.98816540007448,0.4989197273482871,0.3785759228153653,0.877,0.636,0.593,6.27
1,33036878,ENSG00000004455,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362],0.1366648736457747,-0.8439035542472547,0.2225931759473869,-0.6882188270247257,0.677,0.524,0.409,8.44
4,15778327,ENSG00000004468,CD38,CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667],0.0247547694010697,-0.5363655461815557,0.6822018677477608,1.084586422548303,0.613,0.489,0.406,8.97
12,2794993,ENSG00000004478,FKBP4,FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720],0.218241712179298,0.0425521409039025,-0.2857339747866052,0.702542351607273,0.775,0.53,0.475,7.32
1,23019467,ENSG00000004487,KDM1A,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],-0.1469629556891256,0.91804009536508,0.630290148812867,-0.2535650574239919,0.779,0.508,0.426,8.06
3,49940151,ENSG00000004534,RBM6,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903],0.4180897224983733,1.25770366502245,0.9547659000582184,-0.7595364247695184,0.625,0.48,0.336,5.97
17,3893052,ENSG00000004660,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469],-1.4718342078087765,0.2389244748599004,0.2894614054536417,0.6358123566548162,0.462,0.5870000000000001,0.5710000000000001,10.13
12,21501594,ENSG00000004700,RECQL,RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948],0.7873098163305966,0.5123834868237577,0.3200767756527728,0.4393560310691733,0.522,0.3879999999999999,0.294,7.24
7,93232365,ENSG00000004766,VPS50,"VPS50, EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]",-0.0175520181147884,1.0455437721266965,0.9210859649935356,0.04839692639318,0.562,0.3879999999999999,0.327,9.78
19,35757028,ENSG00000004776,HSPB6,heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511],-1.1579984592885395,-1.3851436776687631,-1.0751486218206,0.2897487583231938,0.667,0.7120000000000001,0.584,6.29
19,35775563,ENSG00000004777,ARHGAP33,Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085],-0.2803190846990215,1.2609393493120182,-0.147588642805663,-0.156257453419357,0.762,0.662,0.555,6.26
16,23596315,ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694],-0.4312776318879075,-1.4226100377105124,0.0361243307421526,-0.5530046036136682,1.0,0.512,0.433,8.62
7,95596515,ENSG00000004799,PDK4,pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812],0.2537533404509026,-0.1095059323618193,-0.146838712479869,0.6971706616958449,0.7170000000000001,0.436,0.34,9.0
6,110476611,ENSG00000004809,SLC22A16,solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302],-0.4218509544738805,0.3564210334396034,0.5463574782667818,-0.5336235099465655,0.7909999999999999,0.483,0.2689999999999999,4.64
3,50345731,ENSG00000004838,ZMYND10,zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412],1.406851042298613,-0.0172778080876575,-0.6424519174514868,-0.2923683932290305,0.564,0.588,0.623,9.17
7,20647329,ENSG00000004846,ABCB5,ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46],0.9917349862986248,1.4089054322679766,0.9625676240742608,0.4778410544334179,0.397,0.423,0.3670000000000001,7.21
X,25015961,ENSG00000004848,ARX,aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060],0.2932506275561195,0.3229546556771969,-0.1487824962404104,0.3017491098331415,0.649,0.725,0.455,2.97
7,96322067,ENSG00000004864,SLC25A13,solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983],0.2313921931573146,0.5653558781543159,1.1202255879029994,0.2986460940213789,0.743,0.46,0.3670000000000001,8.96
7,116953500,ENSG00000004866,ST7,suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351],0.3020179492253215,0.36895600551865,1.2440199178853693,0.2758290045350945,0.748,0.4529999999999999,0.461,9.2
17,47189270,ENSG00000004897,CDC27,cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728],-2.313943520383817,0.8453817643587659,0.6604735669171183,0.1198725133574641,0.75,0.3979999999999999,0.3779999999999999,7.69
17,44268134,ENSG00000004939,SLC4A1,solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027],0.1015646419168034,0.9725888937835042,0.0408933631078766,0.680702385379899,0.6409999999999999,0.595,0.513,7.0
7,93574723,ENSG00000004948,CALCR,calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440],0.5075094587736335,0.1774721667542373,0.99360361390659,0.6285981892722727,0.633,0.462,0.335,9.27
X,11111331,ENSG00000004961,HCCS,holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837],0.2630945764367728,-0.687370280397171,-0.143327678645548,0.4334395339160785,0.644,0.475,0.349,7.52
17,7234516,ENSG00000004975,DVL2,dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086],0.4754730447531075,0.6835233983702197,-0.320848432603457,-0.0113401419570465,0.721,0.611,0.506,6.84
16,2858169,ENSG00000005001,PRSS22,"protease, serine 22 [Source:HGNC Symbol;Acc:HGNC:14368]",-0.4312776318879075,-0.4580960746916006,-0.4964255948032815,-0.1921256567328583,0.727,0.648,0.596,6.35
19,18831958,ENSG00000005007,UPF1,"UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]",0.2873359190178577,1.2637642541791865,0.3470760764903943,0.5841711602317147,0.789,0.603,0.575,6.84
7,26864589,ENSG00000005020,SKAP2,src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687],0.5399457663877891,-0.2959855907225733,1.1095139372101606,0.7952042501181773,0.659,0.4039999999999999,0.349,11.27
X,119468444,ENSG00000005022,SLC25A5,solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991],-0.0788783407323374,-0.5394094167907031,-0.8705294160689975,-0.3626069160479515,0.638,0.523,0.3329999999999999,4.49
4,109560245,ENSG00000005059,MCUB,mitochondrial calcium uniporter dominant negative beta subunit [Source:HGNC Symbol;Acc:HGNC:26076],0.0063081200672098,-0.3813834837740331,0.9315891677946988,0.3772466288563652,0.797,0.449,0.3229999999999999,8.0
7,27185231,ENSG00000005073,HOXA11,homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101],-0.3767596980462659,-0.4696247466494527,-0.9359914970156598,0.4385711762030412,0.528,0.615,0.505,2.13
7,102478921,ENSG00000005075,POLR2J,RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197],-0.6582485401582,-1.4023073235082366,-0.4839436440524475,-0.3626069160479515,0.804,0.579,0.636,6.37
17,5468968,ENSG00000005100,DHX33,DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718],0.2630945764367728,0.6305575009261857,0.2154459738518772,0.9134518308194786,0.682,0.55,0.436,5.69
17,43661921,ENSG00000005102,MEOX1,mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013],0.7202567253206983,-0.7553162169010146,0.1413722420478788,0.5252913654771706,0.45,0.621,0.5,3.95
7,11832197,ENSG00000005108,THSD7A,thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207],0.403487436839782,1.785946466044882,1.4610438942834596,1.158139995770793,0.611,0.514,0.335,5.46
17,34980511,ENSG00000005156,LIG3,DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600],0.0016091760036681,1.1120712682271314,0.1833959851201892,1.146748363605148,0.662,0.521,0.446,6.32
12,47706005,ENSG00000005175,RPAP3,RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151],-0.0842743441096848,0.544277505693529,0.4585558209473379,0.7232500308588238,0.698,0.375,0.324,8.08
16,20764013,ENSG00000005187,ACSM3,acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522],0.7952024322582767,0.3736269107061597,0.3485109606434021,0.0643555582655773,0.4589999999999999,0.4320000000000001,0.264,7.45
16,20806499,ENSG00000005189,AC004381.6,Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2],0.2843572135317226,0.7498955937058182,0.4586380009014208,-0.5282205704390555,0.636,0.4679999999999999,0.42,8.25
16,57447384,ENSG00000005194,CIAPIN1,cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050],0.3757867197143582,-0.4827127356635975,0.1026997877988211,0.3144760623172796,0.653,0.509,0.471,8.62
19,2328683,ENSG00000005206,SPPL2B,signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627],-0.310824804389108,0.3860045767338834,0.218989235179024,0.549487874793071,0.738,0.647,0.649,8.52
9,35115849,ENSG00000005238,FAM214B,family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666],1.948436364985024,0.2619027425888203,-0.8608417019519147,0.3610147529977317,0.6920000000000001,0.622,0.499,4.36
17,48037796,ENSG00000005243,COPZ2,coatomer protein complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356],-2.141054374776653,-1.0274253062227598,-0.0932397293882551,-0.3703984502631692,0.8,0.555,0.5529999999999999,14.49
7,107044705,ENSG00000005249,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392],0.4204902614727575,-0.0863996492851801,0.8870671605215211,0.7171944863644346,0.8340000000000001,0.488,0.309,8.85
X,11758236,ENSG00000005302,MSL3,male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:7370],-0.1409940091202573,0.2129279729063166,0.0533586927091843,0.1154109664098138,0.857,0.4629999999999999,0.386,8.39
16,3880697,ENSG00000005339,CREBBP,CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348],1.1270338318932938,2.313517475320188,0.9888599157291084,0.8068537342102947,0.81,0.569,0.45,4.25
17,58328794,ENSG00000005379,TSPOAP1,TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831],0.1366648736457747,1.9403054439919696,0.1635942771951891,-0.4771631663061717,0.6709999999999999,0.636,0.612,5.6
17,58280934,ENSG00000005381,MPO,myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218],0.1840873633807835,0.7019494231341532,-0.2215212438230284,0.2016769965942349,0.5760000000000001,0.619,0.494,5.4
7,95396370,ENSG00000005421,PON1,paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204],0.3521615944988495,-0.3074940171501141,0.2495887353362345,0.4334395339160785,0.6809999999999999,0.424,0.39,8.52
2,75710914,ENSG00000005436,GCFC2,GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317],0.0109716268096762,0.7633721184730189,0.4921050848213063,0.6525101063527003,0.7909999999999999,0.41,0.332,7.31
2,74421729,ENSG00000005448,WDR54,WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770],-0.258388486280743,-0.3909092823833188,-0.638118724502117,-1.1614030011510392,0.648,0.5770000000000001,0.519,9.06
7,87345663,ENSG00000005469,CROT,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366],0.2506079722084502,0.4911715016064265,0.5536540340079336,0.2244320195772425,0.573,0.413,0.4,8.93
7,87475679,ENSG00000005471,ABCB4,ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45],-0.1063419154747927,1.440058204042569,0.6846303255393934,-1.2324721413121045,0.7859999999999999,0.452,0.191,7.05
7,105014204,ENSG00000005483,KMT2E,lysine methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541],0.8793907120292859,1.942506823082496,0.8047882016519066,0.1705336947819282,0.591,0.436,0.289,4.51
7,75879033,ENSG00000005486,RHBDD2,rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082],0.0156002267373728,-0.2670113254490364,-0.2060415597672637,0.0327961292055805,0.7559999999999999,0.622,0.556,3.68
16,981769,ENSG00000005513,SOX8,SRY-box 8 [Source:HGNC Symbol;Acc:HGNC:11203],-0.0842743441096848,0.0104299439962171,-0.7653918454402332,0.5482263756495305,0.861,0.723,0.5489999999999999,2.25
6,82247743,ENSG00000005700,IBTK,inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853],0.8861973637273395,1.5090713874253976,0.6966685703105139,0.4981298793194827,0.415,0.3929999999999999,0.3,6.95
11,3379138,ENSG00000005801,ZNF195,zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986],0.3960549187180311,0.4840264664790544,0.1209841006123088,0.4014984809968792,0.5760000000000001,0.42,0.389,3.17
13,77327085,ENSG00000005810,MYCBP2,"MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]",-0.2234820384487739,3.1816870114292723,1.2440773703488657,0.1486452727266496,0.833,0.439,0.342,6.0
13,77027158,ENSG00000005812,FBXL3,F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599],0.5593871055098951,-0.0466225024587166,0.1310208820572093,0.6344841864793992,0.732,0.417,0.293,3.12
16,30472750,ENSG00000005844,ITGAL,integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148],0.194533187158694,1.3093503022133512,0.505945414326446,0.524629910632203,0.6,0.5539999999999999,0.547,8.91
17,50095351,ENSG00000005882,PDK2,pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810],0.1251847531558449,-0.1228884533892883,0.000775487632211,0.6763160959672646,0.72,0.581,0.599,9.09
17,50056110,ENSG00000005884,ITGA3,integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139],0.5707651277587533,1.1651217779840488,0.3273662021167347,0.4836193084872551,0.0,0.601,0.588,7.99
X,24149728,ENSG00000005889,ZFX,"zinc finger protein, X-linked [Source:HGNC Symbol;Acc:HGNC:12869]",-0.1840396773285837,0.8741618269849878,0.6155548048753516,1.1111438336651431,0.687,0.447,0.354,3.17
X,120469295,ENSG00000005893,LAMP2,lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501],0.2474465232813882,-0.1072882947479118,0.4481427002558245,0.1025505636897333,0.612,0.419,0.295,7.35
17,44389504,ENSG00000005961,ITGA2B,integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138],-0.8880838526781296,1.147228599390789,0.0180555329448872,-0.5473904896347362,0.531,0.614,0.575,9.72
7,95485942,ENSG00000005981,ASB4,ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009],-0.3855187405700653,-0.0540589709300579,0.5507919101023839,0.7694384806634056,0.521,0.491,0.371,3.93
16,19522097,ENSG00000006007,GDE1,glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644],0.1979762810384666,-0.3991278469584781,0.1103192797791084,0.6043398769366152,0.718,0.489,0.4370000000000001,6.08
19,18588797,ENSG00000006015,C19orf60,chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:HGNC:26098],-0.3347341509782559,-1.078600189139136,-0.6543822955805019,-0.6225208553072644,0.7659999999999999,0.688,0.66,8.36
19,18606798,ENSG00000006016,CRLF1,cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364],0.2410747197316171,-0.0712113106122002,-0.0524933230468564,-0.2458447170956353,0.83,0.6659999999999999,0.599,7.16
17,47821793,ENSG00000006025,OSBPL7,oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387],0.4108316806871333,0.863373050621233,-0.0776140447507598,0.0248103486212504,0.6609999999999999,0.605,0.614,8.79
17,32928203,ENSG00000006042,TMEM98,transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529],0.7333955637076255,-0.920401046965419,-0.0482300048169154,0.9178610473086783,0.747,0.555,0.462,8.93
17,7294635,ENSG00000006047,YBX2,Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948],-0.4505733647240241,-0.2720060681560682,-0.4332221525524269,-0.1109239566357249,0.828,0.67,0.4920000000000001,7.38
