ENSID,chrom,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_enformer,Gene name
ENSG00000003096,X,train,train,train,train,train,train,train,train,train,train,test,train,test,KLHL13
ENSG00000003137,2,test,valid,train,train,train,train,train,train,train,train,train,valid,train,CYP26B1
ENSG00000003147,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ICA1
ENSG00000003249,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,DBNDD1
ENSG00000003393,2,test,valid,train,train,train,train,train,train,train,train,train,valid,valid,ALS2
ENSG00000003400,2,test,valid,train,train,train,train,train,train,train,train,train,valid,valid,CASP10
ENSG00000003402,2,test,valid,train,train,train,train,train,train,train,train,train,valid,valid,CFLAR
ENSG00000003436,2,test,valid,train,train,train,train,train,train,train,train,train,valid,train,TFPI
ENSG00000003509,2,test,valid,train,train,train,train,train,train,train,train,train,valid,train,NDUFAF7
ENSG00000003756,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,RBM5
ENSG00000003987,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,MTMR7
ENSG00000003989,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,SLC7A2
ENSG00000004059,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ARF5
ENSG00000004139,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,SARM1
ENSG00000004399,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,PLXND1
ENSG00000004455,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,AK2
ENSG00000004468,4,train,train,test,valid,train,train,train,train,train,train,train,train,train,CD38
ENSG00000004478,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,FKBP4
ENSG00000004487,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,KDM1A
ENSG00000004534,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,RBM6
ENSG00000004660,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,CAMKK1
ENSG00000004700,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,RECQL
ENSG00000004766,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,VPS50
ENSG00000004776,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,HSPB6
ENSG00000004777,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ARHGAP33
ENSG00000004779,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,NDUFAB1
ENSG00000004799,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PDK4
ENSG00000004809,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,SLC22A16
ENSG00000004838,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,ZMYND10
ENSG00000004846,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ABCB5
ENSG00000004848,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,ARX
ENSG00000004864,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,SLC25A13
ENSG00000004866,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ST7
ENSG00000004897,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,CDC27
ENSG00000004939,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,SLC4A1
ENSG00000004948,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CALCR
ENSG00000004961,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,HCCS
ENSG00000004975,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,DVL2
ENSG00000005001,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,PRSS22
ENSG00000005007,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,UPF1
ENSG00000005020,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,SKAP2
ENSG00000005022,X,train,train,train,train,train,train,train,train,train,train,test,train,test,SLC25A5
ENSG00000005059,4,train,train,test,valid,train,train,train,train,train,train,train,train,train,MCUB
ENSG00000005073,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HOXA11
ENSG00000005075,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,POLR2J
ENSG00000005100,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,DHX33
ENSG00000005102,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,MEOX1
ENSG00000005108,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,THSD7A
ENSG00000005156,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,LIG3
ENSG00000005175,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,RPAP3
ENSG00000005187,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,ACSM3
ENSG00000005189,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,AC004381.6
ENSG00000005194,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,CIAPIN1
ENSG00000005206,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SPPL2B
ENSG00000005238,9,train,train,train,train,train,train,train,test,valid,train,train,train,train,FAM214B
ENSG00000005243,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,COPZ2
ENSG00000005249,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PRKAR2B
ENSG00000005302,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,MSL3
ENSG00000005339,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,CREBBP
ENSG00000005379,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,TSPOAP1
ENSG00000005381,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,MPO
ENSG00000005421,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PON1
ENSG00000005436,2,test,valid,train,train,train,train,train,train,train,train,train,valid,train,GCFC2
ENSG00000005448,2,test,valid,train,train,train,train,train,train,train,train,train,valid,train,WDR54
ENSG00000005469,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CROT
ENSG00000005471,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ABCB4
ENSG00000005483,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,KMT2E
ENSG00000005486,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,RHBDD2
ENSG00000005513,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,SOX8
ENSG00000005700,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,IBTK
ENSG00000005801,11,valid,train,train,train,train,train,train,train,train,test,train,train,train,ZNF195
ENSG00000005810,13,train,test,valid,train,train,train,train,train,train,train,train,train,train,MYCBP2
ENSG00000005812,13,train,test,valid,train,train,train,train,train,train,train,train,train,train,FBXL3
ENSG00000005844,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,ITGAL
ENSG00000005882,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,PDK2
ENSG00000005884,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,ITGA3
ENSG00000005889,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,ZFX
ENSG00000005893,X,train,train,train,train,train,train,train,train,train,train,test,train,test,LAMP2
ENSG00000005961,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,ITGA2B
ENSG00000005981,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ASB4
ENSG00000006007,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,GDE1
ENSG00000006015,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,C19orf60
ENSG00000006016,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CRLF1
ENSG00000006025,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,OSBPL7
ENSG00000006042,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,TMEM98
ENSG00000006047,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,YBX2
ENSG00000006059,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,KRT33A
ENSG00000006062,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,MAP3K14
ENSG00000006071,11,valid,train,train,train,train,train,train,train,train,test,train,train,train,ABCC8
ENSG00000006116,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,CACNG3
ENSG00000006118,11,valid,train,train,train,train,train,train,train,train,test,train,train,train,TMEM132A
ENSG00000006125,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,AP2B1
ENSG00000006128,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,TAC1
ENSG00000006194,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,ZNF263
ENSG00000006210,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,CX3CL1
ENSG00000006282,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,SPATA20
ENSG00000006283,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,CACNA1G
ENSG00000006327,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,TNFRSF12A
ENSG00000006377,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,DLX6
ENSG00000006432,14,train,train,test,valid,train,train,train,train,train,train,train,train,test,MAP3K9
ENSG00000006451,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,RALA
ENSG00000006453,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,BAIAP2L1
ENSG00000006459,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,KDM7A
ENSG00000006468,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ETV1
ENSG00000006530,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,AGK
ENSG00000006555,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,TTC22
ENSG00000006576,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PHTF2
ENSG00000006606,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CCL26
ENSG00000006607,2,test,valid,train,train,train,train,train,train,train,train,train,valid,valid,FARP2
ENSG00000006611,11,valid,train,train,train,train,train,train,train,train,test,train,train,train,USH1C
ENSG00000006625,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,GGCT
ENSG00000006634,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,DBF4
ENSG00000006638,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TBXA2R
ENSG00000006652,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,IFRD1
ENSG00000006659,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,LGALS14
ENSG00000006695,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,COX10
ENSG00000006704,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,GTF2IRD1
ENSG00000006712,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PAF1
ENSG00000006715,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,VPS41
ENSG00000006740,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,ARHGAP44
ENSG00000006744,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,ELAC2
ENSG00000006747,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,SCIN
ENSG00000006756,X,train,train,train,train,train,train,train,train,train,train,test,train,test,ARSD
ENSG00000006757,X,train,train,train,train,train,train,train,train,train,train,test,train,test,PNPLA4
ENSG00000006788,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,MYH13
ENSG00000006831,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,ADIPOR2
ENSG00000006837,5,train,train,train,test,valid,train,train,train,train,train,train,train,train,CDKL3
ENSG00000007001,2,test,valid,train,train,train,train,train,train,train,train,train,valid,train,UPP2
ENSG00000007038,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,PRSS21
ENSG00000007047,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,MARK4
ENSG00000007062,4,train,train,test,valid,train,train,train,train,train,train,train,train,train,PROM1
ENSG00000007080,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CCDC124
ENSG00000007129,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CEACAM21
ENSG00000007168,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,PAFAH1B1
ENSG00000007171,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,NOS2
ENSG00000007174,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,DNAH9
ENSG00000007202,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,KIAA0100
ENSG00000007216,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,SLC13A2
ENSG00000007237,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,GAS7
ENSG00000007255,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TRAPPC6A
ENSG00000007264,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,MATK
ENSG00000007306,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CEACAM7
ENSG00000007312,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,CD79B
ENSG00000007314,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,SCN4A
ENSG00000007341,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,ST7L
ENSG00000007350,X,train,train,train,train,train,train,train,train,train,train,test,train,train,TKTL1
ENSG00000007372,11,valid,train,train,train,train,train,train,train,train,test,train,train,test,PAX6
ENSG00000007376,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,RPUSD1
ENSG00000007384,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,RHBDF1
ENSG00000007392,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,LUC7L
ENSG00000007402,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,CACNA2D2
ENSG00000007516,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,BAIAP3
ENSG00000007520,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,TSR3
ENSG00000007541,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,PIGQ
ENSG00000007545,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,CRAMP1
ENSG00000007866,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,TEAD3
ENSG00000007908,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,SELE
ENSG00000007923,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,DNAJC11
ENSG00000007933,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,FMO3
ENSG00000007944,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,MYLIP
ENSG00000007952,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,NOX1
ENSG00000007968,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,E2F2
ENSG00000008018,6,train,train,train,train,test,valid,train,train,train,train,train,train,valid,PSMB1
ENSG00000008056,X,train,train,train,train,train,train,train,train,train,train,test,train,test,SYN1
ENSG00000008083,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,JARID2
ENSG00000008086,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,CDKL5
ENSG00000008118,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,CAMK1G
ENSG00000008128,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,CDK11A
ENSG00000008130,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,NADK
ENSG00000008196,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,TFAP2B
ENSG00000008197,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,TFAP2D
ENSG00000008226,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,DLEC1
ENSG00000008256,7,train,train,train,train,train,test,valid,train,train,train,train,train,valid,CYTH3
ENSG00000008277,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ADAM22
ENSG00000008282,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,SYPL1
ENSG00000008283,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,CYB561
ENSG00000008294,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,SPAG9
ENSG00000008300,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,CELSR3
ENSG00000008311,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,AASS
ENSG00000008323,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,PLEKHG6
ENSG00000008324,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,SS18L2
ENSG00000008382,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,MPND
ENSG00000008394,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,MGST1
ENSG00000008405,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,CRY1
ENSG00000008438,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PGLYRP1
ENSG00000008441,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,NFIX
ENSG00000008513,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,ST3GAL1
ENSG00000008516,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,MMP25
ENSG00000008517,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,IL32
ENSG00000008710,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,PKD1
ENSG00000008735,22,train,train,train,train,train,train,train,train,train,train,test,valid,train,MAPK8IP2
ENSG00000008838,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,MED24
ENSG00000008853,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,RHOBTB2
ENSG00000008869,2,test,valid,train,train,train,train,train,train,train,train,train,valid,train,HEATR5B
ENSG00000008952,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,SEC62
ENSG00000009307,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,CSDE1
ENSG00000009335,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,UBE3C
ENSG00000009413,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,REV3L
ENSG00000009694,X,train,train,train,train,train,train,train,train,train,train,test,train,test,TENM1
ENSG00000009709,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,PAX7
ENSG00000009724,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,MASP2
ENSG00000009765,6,train,train,train,train,test,valid,train,train,train,train,train,train,valid,IYD
ENSG00000009780,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,FAM76A
ENSG00000009790,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,TRAF3IP3
ENSG00000009830,14,train,train,test,valid,train,train,train,train,train,train,train,train,test,POMT2
ENSG00000009844,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,VTA1
ENSG00000009950,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,MLXIPL
ENSG00000009954,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,BAZ1B
ENSG00000010017,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,RANBP9
ENSG00000010030,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,ETV7
ENSG00000010072,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,SPRTN
ENSG00000010165,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,METTL13
ENSG00000010219,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,DYRK4
ENSG00000010244,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,ZNF207
ENSG00000010256,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,UQCRC1
ENSG00000010270,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,STARD3NL
ENSG00000010278,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,CD9
ENSG00000010282,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,HHATL
ENSG00000010292,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,NCAPD2
ENSG00000010295,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,IFFO1
ENSG00000010310,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,GIPR
ENSG00000010318,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,PHF7
ENSG00000010319,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,SEMA3G
ENSG00000010322,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,NISCH
ENSG00000010327,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,STAB1
ENSG00000010361,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,FUZ
ENSG00000010379,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,SLC6A13
ENSG00000010404,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,IDS
ENSG00000010438,9,train,train,train,train,train,train,train,test,valid,train,train,train,train,PRSS3
ENSG00000010539,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,ZNF200
ENSG00000010610,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,CD4
ENSG00000010626,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,LRRC23
ENSG00000010671,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,BTK
ENSG00000010704,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,HFE
ENSG00000010803,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,SCMH1
ENSG00000010810,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,FYN
ENSG00000010818,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,HIVEP2
ENSG00000010932,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,FMO1
ENSG00000011007,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,ELOA
ENSG00000011009,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,LYPLA2
ENSG00000011021,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,CLCN6
ENSG00000011028,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,MRC2
ENSG00000011052,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,NME1-NME2
ENSG00000011083,5,train,train,train,test,valid,train,train,train,train,train,train,train,train,SLC6A7
ENSG00000011105,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,TSPAN9
ENSG00000011114,14,train,train,test,valid,train,train,train,train,train,train,train,train,test,BTBD7
ENSG00000011132,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,APBA3
ENSG00000011143,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,MKS1
ENSG00000011198,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,ABHD5
ENSG00000011201,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,ANOS1
ENSG00000011243,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,AKAP8L
ENSG00000011258,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,MBTD1
ENSG00000011260,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,UTP18
ENSG00000011275,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,RNF216
ENSG00000011295,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,TTC19
ENSG00000011304,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PTBP1
ENSG00000011332,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,DPF1
ENSG00000011347,11,valid,train,train,train,train,train,train,train,train,test,train,train,train,SYT7
ENSG00000011376,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,LARS2
ENSG00000011405,11,valid,train,train,train,train,train,train,train,train,test,train,train,train,PIK3C2A
ENSG00000011422,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PLAUR
ENSG00000011426,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ANLN
ENSG00000011451,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,WIZ
ENSG00000011454,9,train,train,train,train,train,train,train,test,valid,train,train,train,train,RABGAP1
ENSG00000011465,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,DCN
ENSG00000011478,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,QPCTL
ENSG00000011485,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PPP5C
ENSG00000011523,2,test,valid,train,train,train,train,train,train,train,train,train,valid,train,CEP68
ENSG00000011566,2,test,valid,train,train,train,train,train,train,train,train,train,valid,train,MAP4K3
ENSG00000011590,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ZBTB32
ENSG00000011600,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TYROBP
ENSG00000011638,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,TMEM159
ENSG00000011677,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,GABRA3
ENSG00000012048,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,BRCA1
ENSG00000012061,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ERCC1
ENSG00000012124,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CD22
ENSG00000012174,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,MBTPS2
ENSG00000012211,X,train,train,train,train,train,train,train,train,train,train,test,train,test,PRICKLE3
ENSG00000012223,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,LTF
ENSG00000012232,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,EXTL3
ENSG00000012504,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,NR1H4
ENSG00000012660,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,ELOVL5
ENSG00000012779,10,train,train,train,train,train,train,train,train,test,valid,train,train,train,ALOX5
